project_id,department,manager_experience_years,team_size,complexity_score,planned_duration_months,actual_duration_months,planned_budget_k,actual_budget_k,satisfaction_score
PRJ0029,Research,12,15,3,13,15,381.38,353.7,7.85
PRJ0030,Marketing,5,17,7,12,13,348.71,256.61,10.0
PRJ0031,Operations,1,5,3,18,17,263.58,300.05,7.28
PRJ0032,HR,12,10,6,11,9,429.88,473.22,9.79
PRJ0033,Research,10,18,6,12,12,412.55,328.05,9.39
PRJ0034,IT,6,15,3,8,11,313.41,397.59,1.0
PRJ0035,Marketing,13,20,7,14,12,440.72,573.89,7.15
PRJ0036,Marketing,12,12,3,14,17,142.63,133.7,4.86
PRJ0037,Research,9,19,8,5,5,100.36,122.94,5.84
PRJ0038,Research,1,7,10,11,11,171.39,165.23,8.04
PRJ0039,Finance,11,11,4,15,14,75.69,81.53,6.49
PRJ0040,Operations,11,14,1,18,17,289.03,267.25,8.38
PRJ0041,Finance,15,3,4,9,7,471.47,651.64,6.29
PRJ0042,Finance,10,3,7,11,14,67.7,68.08,6.25
PRJ0043,Operations,12,17,4,14,14,104.95,112.19,6.66
PRJ0044,IT,12,4,6,8,6,253.49,240.01,10.0
PRJ0045,Finance,15,18,9,13,14,470.24,625.04,4.0
PRJ0046,Finance,14,10,1,5,3,192.27,256.29,9.98
PRJ0047,Marketing,14,15,5,9,11,278.26,360.25,2.23
PRJ0048,Operations,15,3,7,8,6,68.71,82.0,8.52
PRJ0049,HR,14,18,1,15,17,116.75,111.65,7.47
PRJ0050,IT,3,9,4,16,18,493.98,580.02,4.83
PRJ0051,IT,12,7,6,15,17,484.3,508.0,7.13
PRJ0052,Operations,7,5,2,8,9,52.22,65.11,2.07
PRJ0053,Research,4,14,10,16,14,478.32,582.3,9.5
PRJ0054,Research,9,18,5,4,3,337.6,321.6,10.0
PRJ0055,Marketing,3,7,10,5,6,440.56,525.22,3.9
PRJ0056,Marketing,5,16,1,11,11,254.63,293.41,5.92
PRJ0057,Operations,3,7,6,16,15,282.02,197.41,10.0
PRJ0058,Marketing,7,17,6,17,15,269.98,315.91,8.12
PRJ0059,IT,5,19,4,16,15,350.09,344.92,9.77
PRJ0060,IT,9,16,8,6,9,112.84,103.48,3.67
PRJ0061,HR,7,7,4,13,16,63.49,58.63,7.56
PRJ0062,Research,2,14,8,6,7,188.57,194.17,5.13
PRJ0063,Operations,4,18,8,11,14,367.11,411.9,2.97
PRJ0064,Finance,9,18,5,11,14,140.83,119.03,8.63
PRJ0065,Research,12,9,4,5,5,353.04,380.75,7.81
PRJ0066,Finance,14,6,2,11,11,486.46,552.87,8.03
PRJ0067,HR,2,3,3,14,14,92.26,122.64,3.85
PRJ0068,HR,10,7,3,16,19,352.67,313.35,6.32
PRJ0069,Marketing,9,12,4,16,17,249.69,249.08,7.04
PRJ0070,HR,10,7,4,4,6,440.66,479.99,1.28
PRJ0071,HR,5,6,10,9,11,129.72,158.53,4.26
PRJ0072,Finance,2,4,5,11,10,361.68,363.26,8.11
PRJ0073,Marketing,4,12,4,6,8,427.15,525.31,1.2
PRJ0074,HR,12,3,10,11,13,475.08,360.77,8.73
PRJ0075,Research,15,7,8,15,15,357.46,308.13,8.09
PRJ0076,HR,12,15,6,4,4,273.73,301.73,5.18
PRJ0077,Marketing,7,6,6,14,17,328.03,275.01,7.61
PRJ0078,Operations,12,18,8,14,13,441.01,385.37,8.23
PRJ0079,Marketing,13,18,7,12,10,306.77,297.82,10.0
PRJ0080,Finance,8,4,10,16,15,63.67,74.22,5.57
PRJ0081,Operations,15,19,10,14,13,468.93,359.02,8.82
PRJ0082,Research,3,14,8,16,17,360.29,387.51,6.33
PRJ0083,IT,14,20,2,12,15,354.43,427.07,3.6
PRJ0084,Marketing,1,5,9,8,9,147.05,150.1,7.03
PRJ0085,Finance,4,3,1,13,12,346.5,344.66,8.99
PRJ0086,Research,2,3,8,7,6,227.24,252.3,7.27
PRJ0087,Operations,8,13,4,18,17,343.05,350.32,9.06
PRJ0088,Research,4,7,4,14,16,97.97,123.3,4.95
PRJ0089,Marketing,2,14,5,9,10,346.03,305.64,6.85
PRJ0090,HR,14,5,8,15,14,499.74,520.86,8.06
PRJ0091,Marketing,6,3,5,10,10,71.7,77.5,6.92
PRJ0092,IT,6,3,8,8,11,489.73,486.42,4.54
PRJ0093,Marketing,10,10,10,14,17,233.11,163.18,8.65
PRJ0094,Operations,4,12,1,16,16,441.84,453.27,7.67
PRJ0095,Operations,6,13,10,13,16,402.07,476.46,4.48
PRJ0096,Marketing,13,14,9,12,14,305.16,356.04,3.55
PRJ0097,Operations,15,15,6,6,8,382.3,421.76,4.37
PRJ0098,HR,2,14,3,18,16,445.33,394.26,10.0
PRJ0099,Research,10,16,8,10,8,231.86,257.2,10.0
PRJ0100,Marketing,12,4,9,13,11,197.16,190.06,7.76
PRJ0101,HR,2,20,6,13,16,350.42,386.52,4.48
PRJ0102,Research,10,5,7,14,16,413.53,441.74,3.92
PRJ0103,Research,14,19,1,8,10,393.03,355.12,4.03
PRJ0104,HR,4,10,5,17,19,409.02,374.72,7.81
PRJ0105,Finance,14,12,5,10,10,246.01,271.41,6.57
PRJ0106,Marketing,15,4,10,18,20,418.03,425.07,7.02
PRJ0107,Research,15,11,4,5,5,104.09,96.17,9.25
PRJ0108,Research,8,9,6,7,5,295.02,268.93,10.0
PRJ0109,Operations,14,6,7,5,3,52.59,52.82,10.0
PRJ0110,Research,7,20,9,17,20,196.06,251.98,6.31
PRJ0111,HR,12,15,1,16,14,214.91,208.7,9.85
PRJ0112,Research,9,13,6,16,19,228.28,239.21,7.49
PRJ0113,Finance,14,6,7,15,14,362.96,386.64,5.68
PRJ0114,Marketing,8,6,3,10,9,224.85,197.95,10.0
PRJ0115,Marketing,5,12,8,5,6,251.91,197.89,7.96
PRJ0116,Research,13,7,5,16,19,156.89,140.57,5.22
PRJ0117,IT,2,11,9,17,18,217.96,236.94,6.96
PRJ0118,IT,15,5,5,14,15,152.27,161.88,6.35
PRJ0119,HR,5,19,9,4,3,82.94,95.83,9.53
PRJ0120,IT,8,5,10,12,15,321.55,342.29,5.87
PRJ0121,HR,10,18,4,4,3,350.7,362.47,8.68
PRJ0122,Operations,9,6,9,11,12,328.77,315.42,8.51
PRJ0123,HR,12,20,5,18,21,258.57,305.81,4.51
PRJ0124,IT,12,19,10,5,6,220.9,201.49,8.23
PRJ0125,Research,12,9,9,15,17,438.5,387.39,7.63
PRJ0126,Operations,13,7,3,11,14,283.59,321.89,3.45
PRJ0127,IT,9,14,4,16,19,265.63,225.79,7.65
PRJ0128,HR,13,19,9,6,7,61.54,86.91,2.31
PRJ0129,Finance,15,15,10,9,11,203.56,216.18,4.5
PRJ0130,Marketing,13,5,6,6,6,221.09,243.68,6.48
PRJ0131,IT,1,11,2,17,16,229.47,213.12,8.07
PRJ0132,HR,9,19,7,10,11,311.08,311.92,6.54
PRJ0133,Operations,7,19,2,13,16,290.12,286.05,6.51
PRJ0134,IT,9,18,2,12,11,323.56,313.44,9.01
PRJ0135,IT,8,15,1,5,4,394.2,451.34,9.56
PRJ0136,Marketing,1,19,3,18,17,415.84,408.59,8.54
PRJ0137,HR,12,6,6,15,15,373.16,448.77,4.54
PRJ0138,Finance,8,14,8,15,13,479.99,695.73,5.44
PRJ0139,Operations,8,11,9,18,19,58.2,58.53,6.71
PRJ0140,HR,15,14,7,17,15,138.1,148.16,8.21
PRJ0141,Operations,11,11,4,8,6,53.4,59.11,10.0
PRJ0142,IT,3,9,6,16,14,341.36,451.18,4.87
PRJ0143,Marketing,1,16,5,9,8,454.11,471.19,8.9
PRJ0144,Marketing,8,17,8,7,9,159.57,147.71,5.85
PRJ0145,Research,3,18,1,7,6,467.17,401.79,10.0
PRJ0146,Finance,3,7,1,7,6,77.12,80.31,9.87
PRJ0147,Marketing,1,5,6,5,8,470.5,462.38,2.44
PRJ0148,IT,11,14,10,7,10,208.23,281.42,1.0
PRJ0149,Finance,5,6,2,14,12,95.64,125.81,6.75
PRJ0150,HR,10,18,5,4,3,268.64,240.39,10.0
PRJ0151,Marketing,7,9,1,15,13,165.55,156.18,9.87
PRJ0152,Finance,10,15,7,9,12,178.19,189.07,3.79
PRJ0153,IT,9,12,1,4,6,188.28,237.15,1.0
PRJ0154,Research,12,9,4,13,14,411.36,435.45,6.68
PRJ0155,Operations,7,16,9,9,7,292.62,278.84,9.36
PRJ0156,Operations,9,7,1,4,6,190.09,197.92,2.83
PRJ0157,IT,8,5,4,9,10,324.65,310.28,5.98
PRJ0158,IT,12,13,6,13,13,372.27,424.53,6.97
PRJ0159,Operations,2,13,6,11,9,172.68,162.95,9.58
PRJ0160,Research,1,20,8,14,12,236.1,229.83,9.73
PRJ0161,Finance,7,17,1,5,5,104.85,128.37,6.15
PRJ0162,Operations,7,14,7,5,5,131.52,122.94,10.0
PRJ0163,IT,14,11,1,17,15,356.5,296.99,10.0
PRJ0164,Marketing,8,12,7,18,18,131.65,140.11,8.72
PRJ0165,HR,5,14,3,16,15,286.32,285.15,10.0
PRJ0166,Research,3,19,8,15,16,369.07,415.84,6.56
PRJ0167,Research,12,8,3,7,8,98.09,107.67,5.88
PRJ0168,Marketing,8,9,1,14,15,305.29,319.09,5.77
PRJ0169,Marketing,6,16,8,6,5,165.45,172.21,9.14
PRJ0170,IT,11,15,3,7,7,483.32,454.14,7.88
PRJ0171,Operations,3,10,2,16,18,267.6,284.33,5.72
PRJ0172,Finance,1,12,1,15,15,412.7,487.89,8.05
PRJ0173,Research,3,11,3,10,8,297.6,269.03,10.0
PRJ0174,Research,5,20,2,16,19,69.54,72.96,4.76
PRJ0175,Marketing,15,4,2,14,15,334.92,403.83,6.6
PRJ0176,Operations,14,7,6,4,4,478.13,538.29,7.7
PRJ0177,Research,3,7,1,9,11,320.73,399.76,4.32
PRJ0178,Finance,1,8,2,18,16,418.63,403.89,7.46
PRJ0179,Marketing,5,10,6,18,17,447.89,347.29,10.0
PRJ0180,Finance,10,18,3,6,5,152.64,164.87,8.31
PRJ0181,Operations,7,15,4,14,16,145.42,160.6,6.31
PRJ0182,Research,15,3,1,13,11,324.94,407.89,9.51
PRJ0183,HR,14,19,8,10,11,234.96,288.58,6.87
PRJ0184,Research,7,9,7,13,13,427.94,483.79,5.72
PRJ0185,Operations,11,15,7,5,3,455.01,530.0,8.91
PRJ0186,Research,9,6,3,17,16,209.04,213.48,9.81
PRJ0187,Research,15,6,10,5,7,156.59,135.78,5.47
PRJ0188,IT,15,8,10,16,18,401.24,428.39,5.57
PRJ0189,Research,10,14,3,7,7,173.66,207.94,6.65
PRJ0190,Research,10,9,2,4,6,420.18,482.56,1.35
PRJ0191,Finance,12,12,1,6,8,240.68,282.82,3.62
PRJ0192,HR,13,9,7,16,14,350.4,345.44,9.46
PRJ0193,Finance,3,5,7,12,13,92.99,93.94,7.79
PRJ0194,Finance,15,15,2,10,10,330.74,371.26,5.88
PRJ0195,Marketing,7,15,7,18,16,253.3,245.2,10.0
PRJ0196,IT,1,20,8,10,11,313.97,305.38,7.97
PRJ0197,Finance,4,10,1,16,14,125.61,137.5,8.95
PRJ0198,Operations,13,11,9,16,19,381.59,444.22,3.37
PRJ0199,Operations,4,9,7,14,12,438.26,447.06,10.0
PRJ0200,Research,14,3,3,7,9,147.53,129.17,6.37
PRJ0201,Marketing,5,5,8,5,6,93.07,87.45,7.33
PRJ0202,IT,7,15,7,18,18,60.64,65.52,6.87
PRJ0203,IT,7,19,8,17,17,338.89,365.57,7.47
PRJ0204,Research,13,3,6,7,8,323.19,351.04,6.01
PRJ0205,Operations,15,8,9,9,11,296.01,333.96,1.68
PRJ0206,HR,11,8,5,14,13,154.38,162.23,8.79
PRJ0207,Marketing,13,14,3,14,12,225.91,246.19,10.0
PRJ0208,Research,4,15,3,6,8,317.51,331.24,4.77
PRJ0209,Marketing,13,15,1,4,7,273.55,334.36,1.0
PRJ0210,Operations,7,17,8,17,18,494.5,625.47,5.41
PRJ0211,Operations,11,18,2,15,13,111.4,97.1,10.0
PRJ0212,HR,3,13,3,11,11,362.82,367.07,8.4
PRJ0213,HR,6,7,8,15,14,231.94,244.68,8.04
PRJ0214,IT,12,6,8,16,19,242.69,245.11,5.78
PRJ0215,Marketing,2,5,4,8,8,372.92,491.86,4.56
PRJ0216,Marketing,10,20,4,18,19,361.6,391.83,7.31
PRJ0217,Operations,13,17,5,8,6,496.07,460.95,9.8
PRJ0218,IT,14,11,6,14,15,107.78,122.81,5.52
PRJ0219,Research,9,19,5,7,5,96.85,105.63,10.0
PRJ0220,Marketing,5,16,7,9,11,375.95,411.9,6.46
PRJ0221,IT,6,17,2,6,5,310.27,409.92,4.98
PRJ0222,IT,12,3,7,12,14,173.37,191.16,4.18
PRJ0223,Operations,12,5,10,8,10,85.74,86.12,5.18
PRJ0224,IT,12,18,7,6,7,88.55,67.01,9.66
PRJ0225,HR,12,13,1,14,13,452.39,463.79,6.63
PRJ0226,HR,4,14,7,4,3,136.34,169.87,7.99
PRJ0227,Finance,14,12,5,13,11,195.52,202.62,8.7
PRJ0228,Operations,14,18,3,15,18,152.0,108.53,10.0
PRJ0229,Research,11,10,3,9,9,209.75,204.56,6.57
PRJ0230,Finance,10,8,4,18,21,81.24,97.4,4.44
PRJ0231,HR,7,14,2,5,8,283.58,320.98,1.0
PRJ0232,Finance,12,10,2,16,14,80.43,74.32,10.0
PRJ0233,Operations,9,6,1,6,7,410.16,395.89,7.28
PRJ0234,Operations,7,10,5,4,6,155.17,153.37,2.53
PRJ0235,IT,14,20,4,12,14,293.01,278.53,7.68
PRJ0236,Marketing,1,7,10,11,13,446.04,332.54,8.34
PRJ0237,IT,1,11,2,15,14,342.89,399.31,8.02
PRJ0238,Operations,9,6,3,5,3,289.83,358.97,9.38
PRJ0239,HR,11,19,7,18,19,195.95,161.12,10.0
PRJ0240,Research,14,11,7,15,14,199.85,247.13,6.74
PRJ0241,HR,9,3,4,14,14,351.27,363.41,10.0
PRJ0242,IT,4,15,5,11,12,497.36,613.63,4.7
PRJ0243,Research,13,18,5,15,18,347.83,367.2,5.83
PRJ0244,Operations,9,15,6,17,18,301.0,322.17,6.23
PRJ0245,HR,3,16,9,12,13,378.79,418.89,6.11
PRJ0246,Operations,7,5,2,4,6,259.34,241.57,1.0
PRJ0247,Research,6,8,5,16,17,77.06,94.72,5.55
PRJ0248,Research,8,20,3,8,11,303.03,267.21,6.77
PRJ0249,HR,11,7,4,11,14,480.93,475.97,5.77
PRJ0250,Operations,9,17,10,18,16,128.89,145.47,6.51
PRJ0251,Finance,14,4,6,14,15,360.5,350.99,6.75
PRJ0252,Operations,5,12,8,17,19,140.42,163.82,2.73
PRJ0253,Research,1,20,1,5,6,291.12,365.76,4.42
PRJ0254,Operations,3,15,10,7,7,93.5,112.38,4.97
PRJ0255,IT,10,7,8,10,10,252.67,191.92,10.0
PRJ0256,Finance,12,3,7,6,8,390.27,417.15,3.82
PRJ0257,Marketing,8,3,1,16,14,206.41,248.58,8.69
PRJ0258,IT,15,20,2,15,13,349.21,297.7,10.0
PRJ0259,Marketing,11,17,3,8,11,407.95,472.63,3.47
PRJ0260,HR,6,19,1,11,14,467.23,537.37,4.32
PRJ0261,Marketing,8,13,9,15,14,155.59,135.08,10.0
PRJ0262,Operations,9,19,8,13,15,229.69,269.92,4.47
PRJ0263,Marketing,4,15,2,6,7,118.59,129.37,7.29
PRJ0264,Research,1,3,9,7,9,496.62,569.9,1.68
PRJ0265,IT,14,4,7,17,16,467.15,422.8,10.0
PRJ0266,IT,1,11,9,18,21,292.98,314.23,4.74
PRJ0267,Marketing,10,5,6,12,14,428.91,340.67,7.9
PRJ0268,IT,4,3,6,17,19,284.43,201.5,10.0
PRJ0269,Research,12,18,4,17,20,330.61,354.12,6.09
PRJ0270,IT,14,8,10,10,9,90.11,109.49,7.46
PRJ0271,Marketing,7,19,10,4,7,389.87,424.16,1.0
PRJ0272,Finance,2,7,2,17,15,107.47,111.82,10.0
PRJ0273,Finance,3,7,7,15,16,421.73,430.95,6.21
PRJ0274,HR,1,8,5,7,10,401.91,365.18,3.86
PRJ0275,IT,5,5,6,7,6,368.94,375.11,9.9
PRJ0276,Marketing,1,7,2,12,12,66.27,73.78,6.58
PRJ0277,IT,8,7,5,9,7,186.41,183.56,10.0
PRJ0278,Operations,1,12,10,12,12,168.4,195.78,4.22
PRJ0279,Research,11,12,4,15,18,212.06,228.9,5.49
PRJ0280,IT,1,19,9,18,16,89.44,98.16,8.35
PRJ0281,IT,2,16,6,9,10,471.63,558.08,4.55
PRJ0282,Finance,2,11,2,9,12,299.21,290.53,2.88
PRJ0283,Research,12,16,1,8,9,187.49,215.41,5.05
PRJ0284,Marketing,6,3,5,8,10,228.64,226.82,5.54
PRJ0285,IT,7,15,9,5,5,251.24,276.6,6.62
PRJ0286,Finance,5,15,6,11,9,320.27,305.26,8.45
PRJ0287,HR,1,6,10,11,12,282.06,257.63,9.55
PRJ0288,Research,1,3,7,14,13,463.73,493.31,7.44
PRJ0289,Finance,3,19,5,16,17,273.63,209.93,9.48
PRJ0290,Finance,14,10,10,4,3,496.47,499.23,8.03
PRJ0291,Finance,2,4,6,11,14,433.14,350.43,8.78
PRJ0292,IT,5,10,5,8,6,143.83,167.83,8.36
PRJ0293,IT,12,9,9,5,6,468.77,566.05,4.02
PRJ0294,HR,10,4,6,17,18,102.36,94.21,9.33
PRJ0295,Operations,6,5,8,5,3,417.85,465.59,10.0
PRJ0296,Operations,7,20,2,17,18,221.28,262.19,6.53
PRJ0297,Operations,4,14,9,18,17,445.09,527.6,4.64
PRJ0298,Research,7,3,5,18,19,440.63,476.84,7.17
PRJ0299,Research,11,14,7,9,9,412.67,478.76,7.97
PRJ0300,HR,8,7,10,14,17,405.51,386.29,5.75
PRJ0301,Research,11,19,1,16,18,187.11,198.8,7.24
PRJ0302,Operations,1,18,10,12,11,86.41,84.68,10.0
PRJ0303,Operations,15,17,5,4,4,231.34,217.44,8.35
PRJ0304,Finance,6,17,10,15,18,128.09,135.19,5.11
PRJ0305,Research,8,7,2,9,7,362.73,399.78,8.3
PRJ0306,IT,5,16,6,12,11,205.74,251.93,6.08
PRJ0307,IT,4,4,1,11,13,489.02,532.92,4.47
PRJ0308,Finance,2,13,3,14,17,338.44,387.95,3.5
PRJ0309,Finance,6,9,5,9,11,420.12,482.29,5.5
PRJ0310,Finance,6,8,4,6,4,109.64,159.32,6.01
PRJ0311,IT,11,4,3,11,9,437.91,340.91,10.0
PRJ0312,Operations,15,8,10,12,11,465.24,440.49,9.4
PRJ0313,Finance,1,20,5,4,5,269.18,342.16,4.29
PRJ0314,HR,9,4,8,15,13,322.81,321.91,8.86
PRJ0315,Finance,12,20,4,12,15,394.16,466.24,4.05
PRJ0316,Marketing,11,17,1,17,18,128.68,139.55,7.36
PRJ0317,Finance,6,4,7,18,18,276.15,377.16,5.83
PRJ0318,IT,13,8,8,9,11,229.4,202.57,6.43
PRJ0319,Research,3,3,3,9,10,115.87,142.9,3.94
PRJ0320,Finance,4,17,6,15,17,215.39,282.69,2.48
PRJ0321,Research,12,12,2,7,8,80.68,72.44,9.83
PRJ0322,Marketing,11,19,7,4,4,61.62,71.94,7.71
PRJ0323,HR,4,7,8,13,11,110.82,100.31,10.0
PRJ0324,Research,3,6,6,11,11,483.4,509.76,9.39
PRJ0325,Operations,10,12,6,5,3,297.29,300.71,10.0
PRJ0326,Finance,3,19,5,15,13,484.62,339.23,10.0
PRJ0327,Marketing,15,12,8,4,6,244.62,272.42,1.87
PRJ0328,Marketing,3,19,1,5,8,190.32,203.93,1.68
PRJ0329,Research,4,7,10,4,4,277.76,353.27,5.57
PRJ0330,HR,7,4,4,4,5,247.78,282.88,3.66
PRJ0331,IT,4,8,4,12,12,97.55,135.95,5.16
PRJ0332,Finance,9,4,3,16,18,338.37,360.72,6.81
PRJ0333,Marketing,1,15,3,17,15,147.22,152.25,9.86
PRJ0334,HR,8,13,4,4,6,328.81,336.16,3.1
PRJ0335,Operations,7,13,1,16,15,342.59,337.13,7.88
PRJ0336,Marketing,2,18,2,7,6,118.41,85.12,10.0
PRJ0337,HR,8,13,9,13,14,77.61,78.93,6.8
PRJ0338,IT,1,17,10,9,11,401.34,296.92,8.74
PRJ0339,IT,11,18,2,10,11,256.91,287.18,6.46
PRJ0340,Marketing,12,13,5,5,6,76.17,65.81,7.72
PRJ0341,Marketing,9,18,9,9,8,497.69,455.81,10.0
PRJ0342,Research,9,10,9,10,11,76.0,72.17,8.58
PRJ0343,Finance,2,6,8,13,12,362.77,369.76,8.35
PRJ0344,HR,7,10,1,17,15,492.66,517.8,10.0
PRJ0345,Marketing,15,6,1,13,15,157.63,191.15,4.07
PRJ0346,Finance,14,5,9,5,6,114.01,109.83,6.7
PRJ0347,Research,10,5,8,18,17,104.62,117.39,6.95
PRJ0348,Finance,3,20,10,5,5,186.47,272.18,2.73
PRJ0349,Marketing,7,7,9,13,14,95.47,105.65,7.21
PRJ0350,IT,12,20,7,10,13,361.47,369.76,7.89
PRJ0351,HR,10,12,3,15,13,78.03,72.81,9.64
PRJ0352,HR,9,8,3,4,3,279.24,285.06,10.0
PRJ0353,IT,4,3,2,11,11,498.51,457.17,8.5
PRJ0354,Marketing,12,7,5,14,13,416.29,453.88,7.8
PRJ0355,HR,1,11,3,16,17,326.85,348.27,8.48
PRJ0356,Marketing,2,14,6,6,5,187.81,136.29,10.0
PRJ0357,Research,1,16,2,14,12,330.75,346.37,7.62
PRJ0358,Marketing,14,4,3,9,8,287.17,347.88,6.91
PRJ0359,Finance,12,19,5,12,10,241.74,239.35,10.0
PRJ0360,IT,5,16,1,9,8,108.82,103.6,10.0
PRJ0361,Marketing,5,15,1,12,12,448.97,378.64,9.93
PRJ0362,Research,11,11,10,10,12,252.4,194.68,8.32
PRJ0363,Operations,7,17,9,18,18,137.58,161.62,7.04
PRJ0364,IT,9,17,7,12,12,215.49,220.4,4.86
PRJ0365,HR,9,13,1,5,7,236.36,275.55,1.59
PRJ0366,Finance,3,18,8,15,17,422.39,540.53,3.78
PRJ0367,HR,3,19,3,11,12,380.13,451.67,5.91
PRJ0368,Research,3,6,8,11,12,396.19,383.77,8.89
PRJ0369,Research,4,3,5,5,5,54.96,58.9,6.4
PRJ0370,HR,8,10,1,15,15,237.27,227.25,9.88
PRJ0371,IT,6,19,7,17,15,266.6,251.61,9.29
PRJ0372,HR,8,5,5,7,5,58.64,64.59,9.71
PRJ0373,Marketing,1,17,6,17,18,166.92,154.43,8.74
PRJ0374,HR,8,17,6,18,21,392.13,281.8,8.94
PRJ0375,Finance,4,16,8,14,17,111.7,102.4,7.8
PRJ0376,Finance,11,16,9,18,19,290.89,292.04,7.0
PRJ0377,Operations,1,4,2,10,8,146.84,187.69,6.83
PRJ0378,Finance,8,15,9,14,12,55.45,54.14,10.0
PRJ0379,HR,4,16,10,7,10,158.54,178.64,1.68
PRJ0380,Finance,6,9,9,7,6,489.14,501.25,9.43
PRJ0381,IT,8,5,10,9,8,410.69,506.78,5.11
PRJ0382,Finance,4,17,10,13,11,481.81,589.53,9.12
PRJ0383,Marketing,14,16,7,9,8,269.53,330.56,8.05
PRJ0384,IT,3,13,1,13,15,99.38,78.5,10.0
PRJ0385,Operations,14,17,7,18,19,296.58,320.61,7.97
PRJ0386,Marketing,9,15,10,6,7,254.47,296.16,3.57
PRJ0387,HR,3,20,5,18,16,429.96,476.06,8.71
PRJ0388,HR,9,8,6,12,12,94.14,107.84,5.63
PRJ0389,HR,13,5,10,15,18,269.71,285.56,6.99
PRJ0390,Marketing,2,17,7,13,11,117.52,110.27,9.05
PRJ0391,Marketing,14,7,5,17,16,196.1,155.98,9.48
PRJ0392,Marketing,2,12,7,14,17,381.81,363.93,4.72
PRJ0393,IT,2,9,9,5,5,264.21,383.56,2.99
PRJ0394,Research,6,19,3,9,8,219.15,214.14,8.65
PRJ0395,IT,3,9,8,15,17,227.51,172.02,7.84
PRJ0396,HR,13,14,2,10,9,256.75,297.8,9.39
PRJ0397,Research,9,19,7,15,17,403.26,475.17,5.41
PRJ0398,Finance,4,15,2,16,19,451.44,561.18,4.11
PRJ0399,HR,1,6,4,12,14,479.9,537.8,6.72
PRJ0400,Operations,4,12,7,16,19,404.11,475.57,4.61
PRJ0401,IT,1,5,3,6,9,191.93,254.51,1.0
PRJ0402,Marketing,14,11,2,13,16,359.66,337.43,4.61
PRJ0403,IT,5,15,10,6,9,246.92,224.31,3.11
PRJ0404,Marketing,4,20,7,10,13,164.6,145.8,7.65
PRJ0405,Research,8,17,1,17,16,428.39,432.73,7.23
PRJ0406,Operations,8,6,8,7,10,67.29,85.12,1.42
PRJ0407,Research,7,17,3,16,15,455.79,514.68,8.37
PRJ0408,Operations,3,4,2,11,14,257.66,289.43,4.33
PRJ0409,IT,1,17,3,16,18,336.74,261.68,9.38
PRJ0410,Marketing,1,10,5,10,13,346.71,328.0,6.2
PRJ0411,Research,12,10,8,8,8,452.8,350.76,10.0
PRJ0412,Operations,11,19,10,10,13,336.5,412.44,4.35
PRJ0413,HR,3,14,7,6,9,326.27,420.19,1.0
PRJ0414,HR,6,12,7,15,17,79.99,93.34,5.24
PRJ0415,Research,7,11,7,5,6,283.28,255.51,5.16
PRJ0416,Marketing,6,7,8,9,11,117.58,149.6,1.0
PRJ0417,Research,14,8,1,5,5,381.85,386.44,7.8
PRJ0418,IT,14,4,4,6,7,280.5,243.43,8.2
PRJ0419,Operations,6,15,6,9,7,356.1,322.39,10.0
PRJ0420,IT,6,8,9,8,6,68.75,67.75,10.0
PRJ0421,HR,13,7,2,11,11,88.16,93.22,8.75
PRJ0422,Operations,3,3,1,12,14,372.35,381.96,6.8
PRJ0423,Research,6,8,10,14,13,82.44,69.09,10.0
PRJ0424,IT,8,8,2,6,6,82.07,101.11,4.15
